month,revenue
2014-01,10857.22
2014-02,3982.42
2014-03,26410.23
2014-04,22876.70
2014-05,20889.17
2014-06,24201.53
2014-07,28834.48
2014-08,24707.88
2014-09,65190.02
2014-10,24242.40
2014-11,56880.25
2014-12,43790.51
2015-01,11765.19
2015-02,5291.30
2015-03,21615.51
2015-04,23797.43
2015-05,22189.87
2015-06,16327.16
2015-07,17213.36
2015-08,30540.59
2015-09,47259.94
2015-10,23930.28
2015-11,52129.25
2015-12,56314.43
2016-01,11587.78
2016-02,11762.61
2016-03,44528.71
2016-04,30717.12
2016-05,46791.20
2016-06,29001.07
2016-07,27865.17
2016-08,23838.54
2016-09,55685.64
2016-10,46256.76
2016-11,59924.66
2016-12,66700.52
2017-01,38420.80
2017-02,13096.89
2017-03,51304.30
2017-04,30737.42
2017-05,29796.73
2017-06,34778.40
2017-07,31449.21
2017-08,52665.74
2017-09,66973.39
2017-10,57160.75
2017-11,92121.42
2017-12,60089.53
